S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,Change,Up,Down,avg Up,avg Down,RS,RSI
176,2022-02-03,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,1285.0,1310.0,1260.0,1270.0,29445,38201778.5,1279.0,1919.0,1166.0,2022-02-03T14:59:16.346713,1270.0,331,1297.39,27876.82,550.0,550.0,0.0,373.27222368682476,-286.5985475234263,1.3024218961064826,56.56747350730755
177,2022-02-03,171,SANIMA,Sanima Bank Limited,376.0,376.3,368.0,369.0,66693,24779701.5,369.0,564.9,319.0,2022-02-03T14:59:44.932272,369.0,501,371.54,41798.02,-901.0,0.0,-901.0,319.9476203028297,-374.3701835917764,0.854629012474213,46.08086073958663
178,2022-02-03,177,RBCL,Rastriya Beema Company Limited,18666.0,19039.0,18549.0,18700.0,1304,24381081.0,18300.0,24370.0,13907.0,2022-02-03T14:58:51.537018,18700.0,77,18697.14,49861.03,18331.0,18331.0,0.0,2892.95510312345,-320.8887287928111,9.015446301298262,90.0154224792721
179,2022-02-03,179,HGI,Himalayan General Insurance Co. Ltd,782.0,787.0,762.6,774.9,40200,31023642.6,782.0,982.0,557.0,2022-02-03T14:59:52.614246,774.9,114,771.73,8526.51,-17925.1,0.0,-17925.1,2479.675802676315,-2835.7760532566267,0.8744258206950568,46.650329452397884
180,2022-02-03,186,IGI,IME General Insurance Ltd.,1179.9,1190.0,1158.0,1160.0,55325,64849510.8,1170.0,1465.0,865.0,2022-02-03T14:59:59.559482,1160.0,366,1172.15,13428.0,385.1,385.1,0.0,2180.450688007694,-2430.665188504901,0.8970592487683944,47.286833521450724
181,2022-02-03,194,NFS,Nepal Finance Ltd.,735.0,760.0,722.0,744.6,64924,47616594.6,735.0,806.0,288.0,2022-02-03T14:59:42.132286,744.6,335,733.42,3674.57,-415.4,0.0,-415.4,1868.95773257751,-2142.7701615751544,0.8722156795405605,46.58735043574686
182,2022-02-03,256,SFCL,Samriddhi Finance Company Limited,418.2,434.0,408.0,408.1,28581,11888732.5,410.0,720.0,161.0,2022-02-03T14:59:51.780842,408.1,251,415.96,3341.98,-336.5,0.0,-336.5,1601.9637707803454,-1884.7315670640533,0.8499691939026679,45.94504582584888
183,2022-02-03,307,NTC,Nepal Doorsanchar Comapany Limited,1575.0,1600.0,1516.0,1560.0,104116,161909543.8,1568.0,1600.0,972.0,2022-02-03T14:59:59.337509,1560.0,792,1555.08,234000.0,1151.9,1151.9,0.0,1537.668946383075,-1615.484200340291,0.9518316217881768,48.7660723990194
184,2022-02-03,358,LBBL,Lumbini Bikas Bank Ltd.,549.8,555.0,532.1,538.0,122911,67170910.2,539.1,774.0,233.0,2022-02-03T14:59:52.087505,538.0,631,546.5,17669.49,-1022.0,0.0,-1022.0,1318.0019540424078,-1530.7007431487327,0.8610448253465977,46.26674294028561
185,2022-02-03,397,ADBL,Agriculture Development Bank Limited,425.0,425.0,420.0,420.6,47402,20034413.9,423.0,620.0,398.0,2022-02-03T14:59:55.628911,420.6,437,422.64,55468.37,-117.39999999999998,0.0,-117.39999999999998,1129.7159606076104,-1328.8006369844484,0.8501771666601271,45.951121977947444
186,2022-02-03,401,MLBL,Mahalaxmi Bikas Bank Ltd.,552.0,554.8,533.0,538.0,146006,79545856.2,542.0,883.0,258.0,2022-02-03T14:59:55.866527,538.0,780,544.81,21578.55,117.39999999999998,117.39999999999998,0.0,985.0993948064129,-1138.9719745579537,0.8649022248231698,46.37788583823368
187,2022-02-03,403,SLICL,Surya Life Insurance Company Limited,825.0,829.0,813.0,814.0,18548,15189271.4,817.0,1091.0,617.4,2022-02-03T14:59:35.793501,814.0,139,818.91,20759.3,276.0,276.0,0.0,883.7994812625734,-976.2616924781396,0.9052895223402033,47.5145384323673
188,2022-02-03,473,SHINE,Shine Resunga Development Bank Ltd.,459.0,459.9,444.0,444.0,84026,38052865.2,450.8,655.0,251.0,2022-02-03T14:59:59.945124,444.0,488,452.87,16787.68,-370.0,0.0,-370.0,757.5424125107065,-889.6528792669283,0.851503356157201,45.989835952795566
189,2022-02-03,516,MFIL,Manjushree Finance Ltd.,745.0,760.0,720.0,726.0,27877,20400867.4,732.0,1456.0,424.0,2022-02-03T14:59:58.323047,726.0,347,731.81,9812.27,282.0,282.0,0.0,689.6077821520015,-762.5596108001632,0.9043329496934509,47.48817426275303
190,2022-02-03,562,MEGA,Mega  Bank Nepal Ltd.,298.0,299.8,293.0,296.0,122235,36287134.3,295.0,405.0,251.2,2022-02-03T14:59:59.705382,296.0,645,296.86,47716.57,-430.0,0.0,-430.0,591.0923847016751,-715.0510949715489,0.8266435627585383,45.25478202820083
191,2022-02-03,574,SKBBL,Sana Kisan Bikas Bank Ltd,1399.0,1425.0,1381.0,1381.1,8971,12560178.5,1399.0,2184.0,1145.0,2022-02-03T14:59:46.131462,1381.1,104,1400.08,21606.12,1085.1,1085.1,0.0,661.6649011728892,-612.9009385470058,1.0795625517257117,51.9129636581426
192,2022-02-03,2744,GRDBL,Green Development Bank Ltd.,396.0,396.0,379.1,388.0,26775,10365899.5,389.0,537.9,162.0,2022-02-03T14:59:51.642267,388.0,183,387.14,2013.72,-993.0999999999999,0.0,-993.0999999999999,567.1413438624479,-667.2150901831643,0.850012765308944,45.94631892537215
193,2022-02-03,2766,CHL,Chhyangdi Hydropower Ltd.,509.6,542.2,509.6,513.0,67245,35341004.4,520.0,715.0,168.0,2022-02-03T14:59:46.347068,513.0,571,525.55,1963.38,125.0,125.0,0.0,503.9782947392247,-571.8986487284019,0.8812370790870097,46.843488727889955
194,2022-02-03,2780,CMF1,Citizens Mutual Fund -1,10.0,10.33,10.0,10.13,15900,162639.5,9.94,16.01,9.03,2022-02-03T14:52:40.024137,10.13,18,10.22,830.66,-502.87,0.0,-502.87,431.981395490748,-562.0374131957708,0.7685990031063622,43.45807058334858
195,2022-02-03,2792,UPPER,Upper Tamakoshi Hydropower Ltd,781.3,781.3,747.0,750.9,311026,238302173.2,766.0,962.5,471.0,2022-02-03T14:59:58.816713,750.9,2148,766.18,79520.31,740.77,740.77,0.0,476.0940532777924,-481.7463541677883,0.9882670603708871,49.70494558143199
196,2022-02-03,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1652.4,1652.4,1591.0,1620.0,4138,6652546.3,1620.0,2101.2,1176.0,2022-02-03T14:56:34.036931,1620.0,93,1607.67,5409.41,869.1,869.1,0.0,532.2377599524026,-412.9254464295216,1.2889439596289092,56.311730752808685
197,2022-02-03,2810,UPCL,UNIVERSAL POWER COMPANY LTD,425.1,434.9,416.0,418.0,196356,83792618.8,419.0,635.0,132.0,2022-02-03T14:59:59.368548,418.0,1000,426.73,8779.46,-1202.0,0.0,-1202.0,456.2037942449059,-525.6503826538915,0.8678844519081956,46.46349783690213
198,2022-02-03,2831,UNHPL,Union Hydropower Limited,411.0,423.0,406.3,408.0,93603,39070563.4,409.0,612.0,113.0,2022-02-03T14:59:54.498951,408.0,675,417.4,3060.0,-10.0,0.0,-10.0,391.031823638483,-451.98604227475533,0.8651413695664097,46.38476115982188
199,2022-02-03,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,11.5,11.73,11.5,11.61,235480,2760527.9,11.5,16.87,10.15,2022-02-03T14:43:58.559099,11.61,16,11.72,1393.2,-396.39,0.0,-396.39,335.17013454726543,-444.04375052121804,0.7548133132238504,43.01388116535013
200,2022-02-03,2893,AIL,Ajod Insurance Limited,775.0,775.0,759.9,760.0,12329,9443107.9,768.0,1125.0,588.8,2022-02-03T14:59:53.925210,760.0,239,765.92,7600.0,748.39,748.39,0.0,394.2015438976613,-380.60892901818136,1.0357128113482346,50.87715740523788
201,2022-02-03,2919,NIFRA,Nepal Infrastructure Bank Limited,383.0,392.0,376.0,376.5,479810,184807759.7,376.0,726.0,268.5,2022-02-03T14:59:59.224846,376.5,3601,385.16,81324.0,-383.5,0.0,-383.5,337.8870376265626,-381.02193915844117,0.886791554241863,46.99997475864191
202,2022-02-03,2923,SLCF,Sanima Large Cap Fund,9.2,9.3,9.2,9.21,19450,179891.0,9.27,11.4,8.78,2022-02-03T14:56:27.794948,9.21,32,9.24,1105.2,-367.29,0.0,-367.29,289.6174608227648,-379.060233564378,0.7640407385903681,43.31196677469634
203,2022-02-03,8021,SAHAS,Sahas Urja Limited,673.2,726.0,673.2,700.0,243194,171135531.8,660.0,789.4,405.3,2022-02-03T14:59:57.244720,700.0,5418,703.69,24500.0,690.79,690.79,0.0,346.9278235623731,-324.9087716266067,1.0677699522408437,51.638720791145104
204,2022-02-03,141,LBL,Laxmi Bank Limited,304.0,304.0,295.3,297.0,31689,9477586.4,300.0,447.0,245.0,2022-02-03T14:59:49.888503,297.0,177,299.08,34307.49,-403.0,0.0,-403.0,297.3667059106032,-336.06466139423486,0.8848496735030542,46.94537107877321
